Country/Territory,Region,Status,PR rating,CL rating,PR,CL,Total
Tanzania,Africa,PF,3,4,25,33,58
Andorra,Europe,F,1,1,38,55,93
Hungary,Europe,F,2,2,32,47,79
Ireland,Europe,F,1,1,39,57,96
Maldives,Asia,PF,4,4,19,29,48
Micronesia,Asia,F,1,1,37,55,92
Palau,Asia,F,1,1,37,55,92
Guinea-Bissau,Africa,PF,5,5,16,23,39
Guatemala,Americas,PF,4,4,22,31,53
Chad,Africa,NF,7,6,4,14,18
Albania,Europe,PF,3,3,27,40,67
Niger,Africa,PF,4,4,20,28,48
Zimbabwe,Africa,PF,5,5,12,17,29
Portugal,Europe,F,1,1,39,56,95
Cambodia,Asia,NF,6,5,11,21,32
Russia,Eurasia,NF,7,6,5,15,20
Iran,Middle East,NF,7,6,4,10,14
Chile,Americas,F,1,1,39,56,95
Denmark,Europe,F,1,1,40,57,97
Denmark,Europe,F,1,1,40,57,97
Saudi Arabia,Middle East,NF,7,7,1,6,7
Libya,Africa,PF,4,5,22,21,43
Greece,Europe,F,2,2,35,49,84
United Arab Emirates,Middle East,NF,6,6,8,14,22
Croatia,Europe,F,1,2,36,50,86
China,Asia,NF,7,6,1,15,16
Guyana,Americas,F,2,3,31,41,72
Belarus,Eurasia,NF,6,6,6,15,21
India,Asia,F,2,3,34,37,71
Bangladesh,Asia,PF,3,4,25,31,56
Syria,Middle East,NF,7,7,-3,4,1
Ireland,Europe,F,1,1,39,57,96
Andorra,Europe,F,1,1,39,57,96
Hong Kong,Asia,PF,5,2,15,44,59
Switzerland,Europe,F,1,1,39,57,96
Sri Lanka,Asia,PF,4,4,23,32,55
Transnistria,Eurasia,NF,6,6,10,14,24
France,Europe,F,1,1,38,57,95
Malaysia,Asia,PF,4,4,21,31,52
Norway,Europe,F,1,1,40,60,100
Israel,Middle East,F,1,2,36,45,81
Trinidad and Tobago,Americas,F,2,2,33,48,81
Mali,Africa,PF,5,4,17,27,44
Sudan,Africa,NF,7,6,2,15,17
Senegal,Africa,F,2,2,31,44,75
Lesotho,Africa,F,2,3,30,41,71
Tajikistan,Eurasia,NF,7,6,0,9,9
Italy,Europe,F,1,1,36,53,89
Central African Republic,Africa,NF,7,7,3,6,9
United Kingdom,Europe,F,1,1,40,54,94
St. Lucia,Americas,F,1,1,38,54,92
Syria,Middle East,NF,7,7,-2,3,1
Djibouti,Africa,NF,6,5,9,20,29
Libya,Africa,NF,7,6,1,8,9
Barbados,Americas,F,1,1,38,57,95
Slovakia,Europe,F,1,1,37,55,92
Norway,Europe,F,1,1,40,60,100
Latvia,Europe,F,1,2,37,52,89
Austria,Europe,F,1,1,37,56,93
Cambodia,Asia,NF,6,5,6,20,26
Singapore,Asia,PF,4,4,19,29,48
Poland,Europe,F,2,2,35,49,84
Myanmar,Asia,PF,5,5,14,18,32
Cambodia,Asia,NF,6,5,11,20,31
Uganda,Africa,NF,6,5,11,25,36
Tajikistan,Eurasia,NF,7,6,0,8,8
Sudan,Africa,NF,7,7,4,4,8
Uzbekistan,Eurasia,NF,7,6,2,8,10
Uganda,Africa,PF,5,4,12,28,40
Western Sahara,Africa,NF,7,7,-2,7,5
Guinea-Bissau,Africa,PF,5,5,16,24,40
The Gambia,Africa,PF,4,5,20,25,45
Uruguay,Americas,F,1,1,40,58,98
Lesotho,Africa,F,2,3,31,41,72
Romania,Europe,F,2,2,34,47,81
Marshall Islands,Asia,F,1,1,37,55,92
Israel,Middle East,F,2,3,33,43,76
Vanuatu,Asia,F,2,2,33,48,81
Costa Rica,Americas,F,1,1,38,53,91
Puerto Rico,Americas,F,1,1,37,53,90
Czech Republic,Europe,F,1,1,38,57,95
Georgia,Eurasia,PF,3,3,26,38,64
South Korea,Asia,F,2,2,33,50,83
South Sudan,Africa,NF,7,7,-2,4,2
United Arab Emirates,Middle East,NF,6,6,8,13,21
Luxembourg,Europe,F,1,1,38,59,97
Nauru,Asia,F,2,3,34,43,77
Abkhazia,Eurasia,PF,4,5,18,23,41
Singapore,Asia,PF,4,4,19,33,52
Denmark,Europe,F,1,1,40,57,97
Bulgaria,Europe,F,2,2,33,46,79
Panama,Americas,F,2,2,35,48,83
Philippines,Asia,PF,3,4,25,31,56
Ethiopia,Africa,NF,6,6,7,11,18
Ecuador,Americas,PF,3,3,25,38,63
The Gambia,Africa,NF,6,6,7,13,20
Malta,Europe,F,1,1,36,56,92
Italy,Europe,F,2,1,35,53,88
Zimbabwe,Africa,NF,6,5,11,17,28
Thailand,Asia,NF,6,5,8,25,33
Palau,Asia,F,1,1,37,55,92
Iran,Middle East,NF,6,6,7,10,17
The Gambia,Africa,NF,7,6,5,13,18
Hong Kong,Asia,PF,5,2,16,47,63
Bangladesh,Asia,PF,3,4,24,29,53
Algeria,Africa,NF,6,5,11,23,34
Papua New Guinea,Asia,PF,4,3,23,36,59
Haiti,Americas,PF,5,5,17,24,41
Indonesia,Asia,PF,2,4,30,32,62
Malaysia,Asia,PF,4,4,18,27,45
Malta,Europe,F,1,1,39,58,97
North Korea,Asia,NF,7,7,0,3,3
Sierra Leone,Africa,PF,3,3,28,38,66
South Africa,Africa,F,2,2,32,46,78
Austria,Europe,F,1,1,37,56,93
Puerto Rico,Americas,F,1,2,37,52,89
Malawi,Africa,PF,3,4,27,34,61
Guinea,Africa,PF,5,5,14,24,38
Tajikistan,Eurasia,NF,7,6,0,9,9
Nigeria,Africa,PF,3,5,25,25,50
Indian Kashmir,Asia,NF,6,5,7,20,27
Kiribati,Asia,F,1,1,38,55,93
Namibia,Africa,F,3,2,29,46,75
Western Sahara,Africa,NF,7,7,-3,7,4
Guatemala,Americas,PF,3,4,24,31,55
South Sudan,Africa,NF,7,7,-2,4,2
New Zealand,Asia,F,1,1,40,59,99
Czech Republic,Europe,F,1,1,38,57,95
Andorra,Europe,F,1,1,39,57,96
Mauritania,Africa,PF,5,5,14,21,35
Nicaragua,Americas,PF,5,4,14,33,47
Poland,Europe,F,1,2,36,49,85
Bhutan,Asia,PF,3,4,28,27,55
Namibia,Africa,F,2,2,30,46,76
South Ossetia,Eurasia,NF,7,6,-3,8,5
Nagorno-Karabakh,Eurasia,PF,5,5,12,18,30
Georgia,Eurasia,PF,3,3,25,38,63
St. Lucia,Americas,F,1,1,39,53,92
Angola,Africa,NF,6,5,10,21,31
Grenada,Americas,F,1,2,38,51,89
Uruguay,Americas,F,1,1,40,58,98
Liechtenstein,Europe,F,1,1,39,59,98
Seychelles,Africa,F,2,2,34,45,79
Estonia,Europe,F,1,1,38,56,94
New Zealand,Asia,F,1,1,40,58,98
North Macedonia,Europe,PF,3,3,26,38,64
Brunei,Asia,NF,6,5,6,22,28
Albania,Europe,PF,3,3,28,40,68
Andorra,Europe,F,1,1,39,55,94
Kyrgyzstan,Eurasia,PF,5,4,12,27,39
Guyana,Americas,F,2,3,30,41,71
Uganda,Africa,PF,6,4,11,26,37
Sweden,Europe,F,1,1,40,60,100
Uganda,Africa,NF,6,5,11,23,34
Jordan,Middle East,NF,6,5,11,24,35
Taiwan,Asia,F,1,1,37,56,93
Marshall Islands,Asia,F,1,1,37,55,92
Uruguay,Americas,F,1,1,40,58,98
Luxembourg,Europe,F,1,1,38,60,98
Kyrgyzstan,Eurasia,NF,7,5,4,23,27
Bhutan,Asia,PF,3,4,29,30,59
New Zealand,Asia,F,1,1,40,57,97
Senegal,Africa,PF,3,3,29,39,68
Zimbabwe,Africa,NF,6,5,11,17,28
Iraq,Middle East,NF,5,6,16,15,31
Estonia,Europe,F,1,1,39,56,95
Eritrea,Africa,NF,7,7,1,1,2
Italy,Europe,F,1,1,36,53,89
Micronesia,Asia,F,1,1,37,56,93
