Country/Territory,Region,Status,PR rating,CL rating,PR,CL,Total
Liberia,Africa,PF,3,4,28,34,62
South Africa,Africa,F,2,2,33,45,78
Sao Tome and Principe,Africa,F,2,2,35,49,84
Dominica,Americas,F,1,1,37,56,93
Vanuatu,Asia,F,2,2,32,47,79
Laos,Asia,NF,7,6,2,12,14
Vietnam,Asia,NF,7,5,3,17,20
Morocco,Africa,PF,5,4,15,26,41
Ghana,Africa,F,1,2,37,46,83
Mongolia,Asia,F,1,2,36,49,85
Dominica,Americas,F,1,1,37,56,93
North Korea,Asia,NF,7,7,0,3,3
Botswana,Africa,F,3,2,28,44,72
Transnistria,Eurasia,NF,6,6,8,12,20
Kazakhstan,Eurasia,NF,7,5,5,18,23
Mali,Africa,NF,6,5,9,24,33
Benin,Africa,PF,5,3,17,42,59
El Salvador,Americas,F,2,3,32,35,67
Chile,Americas,F,1,1,38,56,94
Gabon,Africa,NF,7,5,4,19,23
Cabo Verde,Africa,F,1,1,37,53,90
United Kingdom,Europe,F,1,1,39,54,93
Dominican Republic,Americas,F,2,2,31,44,75
United Arab Emirates,Middle East,NF,7,6,5,12,17
Indonesia,Asia,PF,2,4,30,34,64
Moldova,Eurasia,PF,3,4,26,34,60
New Zealand,Asia,F,1,1,40,58,98
Somaliland,Africa,PF,4,5,21,25,46
Bangladesh,Asia,PF,4,4,20,27,47
Samoa,Asia,F,2,2,30,50,80
Chile,Americas,F,1,1,38,55,93
Sierra Leone,Africa,PF,3,3,28,37,65
India,Asia,F,2,3,35,42,77
Saudi Arabia,Middle East,NF,7,7,1,6,7
United Kingdom,Europe,F,1,1,40,57,97
Greece,Europe,F,1,2,37,51,88
Sao Tome and Principe,Africa,F,2,2,35,49,84
Uganda,Africa,NF,6,5,11,25,36
Myanmar,Asia,PF,5,5,13,18,31
Bangladesh,Asia,PF,4,4,19,26,45
El Salvador,Americas,F,2,3,33,36,69
West Bank,Middle East,NF,7,5,4,21,25
Equatorial Guinea,Africa,NF,7,7,0,6,6
Equatorial Guinea,Africa,NF,7,7,1,7,8
Romania,Europe,F,2,2,35,48,83
Philippines,Asia,PF,3,4,25,34,59
Belgium,Europe,F,1,1,39,57,96
Nepal,Asia,PF,3,4,25,32,57
Jordan,Middle East,NF,6,5,11,25,36
Bosnia and Herzegovina,Europe,PF,4,3,22,35,57
Tuvalu,Asia,F,1,1,37,57,94
Japan,Asia,F,1,1,40,56,96
Papua New Guinea,Asia,PF,3,3,25,38,63
Cote d'Ivoire,Africa,PF,5,4,16,28,44
Trinidad and Tobago,Americas,F,2,2,33,49,82
Kenya,Africa,PF,4,4,22,29,51
Sao Tome and Principe,Africa,F,2,2,34,48,82
Grenada,Americas,F,1,2,37,52,89
Madagascar,Africa,PF,5,4,15,28,43
Timor-Leste,Asia,F,2,3,32,39,71
Taiwan,Asia,F,1,1,38,56,94
Kazakhstan,Eurasia,NF,7,5,5,18,23
Honduras,Americas,PF,4,4,19,26,45
Romania,Europe,F,2,2,35,49,84
Solomon Islands,Asia,PF,4,3,22,43,65
Malta,Europe,F,1,1,39,58,97
Ireland,Europe,F,1,1,39,58,97
Laos,Asia,NF,7,6,2,12,14
Palau,Asia,F,1,1,37,55,92
Bolivia,Americas,PF,3,3,29,39,68
Equatorial Guinea,Africa,NF,7,7,0,6,6
Serbia,Europe,PF,4,3,21,41,62
Ukraine,Eurasia,PF,3,3,25,36,61
Qatar,Middle East,NF,6,5,9,17,26
Belarus,Eurasia,NF,7,7,2,6,8
Greece,Europe,F,2,2,35,48,83
Brazil,Americas,F,2,2,31,48,79
Ukraine,Eurasia,PF,4,3,21,36,57
Nauru,Asia,F,2,3,34,43,77
Guinea-Bissau,Africa,PF,5,5,17,23,40
Burundi,Africa,NF,7,6,3,11,14
Greece,Europe,F,2,2,35,48,83
Tajikistan,Eurasia,NF,7,6,1,10,11
Nagorno-Karabakh,Eurasia,PF,5,5,12,19,31
Colombia,Americas,PF,3,4,29,34,63
Morocco,Africa,PF,5,5,14,25,39
Peru,Americas,F,2,3,30,41,71
Guinea-Bissau,Africa,PF,5,4,17,27,44
Somaliland,Africa,PF,4,5,21,25,46
South Ossetia,Eurasia,NF,7,6,2,8,10
Grenada,Americas,F,1,2,38,51,89
Barbados,Americas,F,1,1,38,57,95
Bulgaria,Europe,F,2,2,33,46,79
Bolivia,Americas,PF,3,3,29,40,69
Belgium,Europe,F,1,1,39,57,96
The Gambia,Africa,NF,6,6,7,16,23
Nigeria,Africa,PF,4,5,23,25,48
Benin,Africa,PF,4,2,21,44,65
Colombia,Americas,PF,3,3,29,35,64
Belarus,Eurasia,NF,7,6,4,10,14
Montenegro,Europe,PF,4,3,23,42,65
Yemen,Middle East,NF,7,6,1,12,13
Papua New Guinea,Asia,PF,4,3,23,36,59
Djibouti,Africa,NF,7,5,5,19,24
Canada,Americas,F,1,1,40,58,98
Turkmenistan,Eurasia,NF,7,7,1,6,7
Estonia,Europe,F,1,1,38,56,94
Liechtenstein,Europe,F,1,1,39,59,98
Australia,Asia,F,1,1,40,58,98
Argentina,Americas,F,2,2,31,49,80
Sri Lanka,Asia,PF,3,4,24,32,56
Malta,Europe,F,1,1,39,57,96
Seychelles,Africa,PF,3,3,26,42,68
Fiji,Asia,PF,3,4,26,34,60
Lithuania,Europe,F,1,1,37,53,90
Crimea,Eurasia,NF,7,6,-1,10,9
India,Asia,F,2,3,34,42,76
Sri Lanka,Asia,PF,3,4,24,32,56
Oman,Middle East,NF,6,5,9,17,26
Singapore,Asia,PF,4,4,19,28,47
Burkina Faso,Africa,PF,5,3,17,36,53
Monaco,Europe,F,3,1,25,57,82
Ghana,Africa,F,1,2,37,47,84
Pakistani Kashmir,Asia,NF,6,5,9,19,28
Turkey,Europe,NF,5,6,15,16,31
Egypt,Africa,NF,6,5,9,22,31
North Macedonia,Europe,PF,3,3,26,38,64
Comoros,Africa,PF,3,4,24,31,55
Haiti,Americas,PF,5,5,17,24,41
Samoa,Asia,F,2,2,32,51,83
Kyrgyzstan,Eurasia,PF,5,5,14,25,39
Burkina Faso,Africa,PF,5,3,17,36,53
Japan,Asia,F,1,1,40,56,96
Jamaica,Americas,F,2,3,34,41,75
Venezuela,Americas,NF,6,5,11,19,30
Mauritius,Africa,F,1,2,38,52,90
Liechtenstein,Europe,F,2,1,33,57,90
Tonga,Asia,F,2,2,31,44,75
Timor-Leste,Asia,PF,3,3,29,36,65
Tuvalu,Asia,F,1,1,37,57,94
South Africa,Africa,F,2,2,33,46,79
Benin,Africa,F,2,2,32,50,82
Benin,Africa,F,2,2,32,48,80
Kyrgyzstan,Eurasia,PF,5,5,13,24,37
Ecuador,Americas,F,2,3,31,40,71
Rwanda,Africa,NF,6,6,8,14,22
Turkmenistan,Eurasia,NF,7,7,0,2,2
Malawi,Africa,PF,3,3,26,37,63
Yemen,Middle East,NF,7,6,1,8,9
Sudan,Africa,NF,7,7,2,5,7
Angola,Africa,NF,6,5,11,18,29
Haiti,Americas,PF,5,5,15,24,39
Zambia,Africa,PF,3,4,25,34,59
Armenia,Eurasia,PF,4,4,23,32,55
Suriname,Americas,F,2,2,34,44,78
Dominica,Americas,F,1,1,38,57,95
Bahamas,Americas,F,1,1,38,53,91
Canada,Americas,F,1,1,40,58,98
Zambia,Africa,PF,3,4,26,34,60
Crimea,Eurasia,NF,7,6,-2,9,7
Guatemala,Americas,PF,4,4,23,31,54
Estonia,Europe,F,1,1,38,56,94
Transnistria,Eurasia,NF,6,6,10,14,24
Costa Rica,Americas,F,1,1,38,53,91
New Zealand,Asia,F,1,1,39,58,97
Russia,Eurasia,NF,6,5,7,20,27
Venezuela,Americas,NF,7,6,2,14,16
Northern Cyprus,Europe,F,3,2,28,50,78
Senegal,Africa,F,2,2,33,46,79
Marshall Islands,Asia,F,1,1,36,55,91
Eastern Donbas,Eurasia,NF,7,7,-1,5,4
South Korea,Asia,F,2,2,34,50,84
Gaza Strip,Middle East,NF,7,6,3,9,12
Tajikistan,Eurasia,NF,7,6,2,14,16
Russia,Eurasia,NF,7,6,5,14,19
Eastern Donbas,Eurasia,NF,7,7,-1,6,5
Nepal,Asia,PF,4,4,23,27,50
Austria,Europe,F,1,1,37,56,93
Canada,Americas,F,1,1,40,59,99
Philippines,Asia,PF,3,3,26,37,63
Nicaragua,Americas,NF,6,5,10,21,31
Cambodia,Asia,NF,6,5,9,20,29
Jordan,Middle East,PF,5,5,12,25,37
Ghana,Africa,F,2,2,35,47,82
Eswatini,Africa,NF,7,5,1,19,20
Ghana,Africa,F,1,2,37,47,84
Nagorno-Karabakh,Eurasia,PF,5,5,15,18,33
Poland,Europe,F,2,2,34,47,81
Seychelles,Africa,PF,3,3,25,42,67
Mauritania,Africa,NF,6,5,9,21,30
Turkey,Europe,NF,5,6,16,16,32
Micronesia,Asia,F,1,1,37,56,93
Pakistani Kashmir,Asia,NF,6,5,8,21,29
Cabo Verde,Africa,F,1,1,37,53,90
Mongolia,Asia,F,1,2,36,50,86
Micronesia,Asia,F,1,1,37,56,93
Crimea,Eurasia,NF,7,6,-2,10,8
Kiribati,Asia,F,1,1,36,55,91
Timor-Leste,Asia,F,2,3,33,39,72
Lesotho,Africa,PF,3,3,27,37,64
Sweden,Europe,F,1,1,40,60,100
Tonga,Asia,F,2,2,30,49,79
Paraguay,Americas,PF,3,3,28,37,65
Mozambique,Africa,PF,4,4,19,32,51
Ghana,Africa,F,1,2,37,47,84
Paraguay,Americas,PF,3,3,27,37,64
United Arab Emirates,Middle East,NF,7,6,5,12,17
South Africa,Africa,F,2,2,33,48,81
Croatia,Europe,F,1,2,37,49,86
Greece,Europe,F,1,2,37,50,87
Iran,Middle East,NF,6,6,6,10,16
Indian Kashmir,Asia,PF,4,4,20,29,49
Trinidad and Tobago,Americas,F,2,2,33,49,82
Mozambique,Africa,PF,5,4,14,29,43
Singapore,Asia,PF,4,4,19,32,51
Vanuatu,Asia,F,2,2,33,49,82
West Bank,Middle East,NF,6,5,6,24,30
Western Sahara,Africa,NF,7,7,-3,7,4
China,Asia,NF,7,6,-2,11,9
Tanzania,Africa,PF,3,4,27,33,60
Estonia,Europe,F,1,1,39,56,95
Afghanistan,Asia,NF,6,6,11,16,27
Lesotho,Africa,PF,3,3,27,36,63
Cambodia,Asia,NF,6,5,10,20,30
Paraguay,Americas,PF,3,3,27,35,62
Madagascar,Africa,PF,3,4,24,32,56
Tuvalu,Asia,F,1,1,37,57,94
South Sudan,Africa,NF,7,6,2,12,14
St. Vincent and the Grenadines,Americas,F,1,1,36,55,91
Armenia,Eurasia,PF,5,4,13,29,42
Iraq,Middle East,NF,5,6,12,13,25
Barbados,Americas,F,1,1,38,58,96
Myanmar,Asia,NF,6,6,9,16,25
Australia,Asia,F,1,1,40,57,97
Azerbaijan,Eurasia,NF,7,6,2,9,11
Afghanistan,Asia,NF,7,6,1,9,10
Marshall Islands,Asia,F,1,1,38,55,93
Greece,Europe,F,1,2,36,51,87
Eritrea,Africa,NF,7,7,1,2,3
Mauritania,Africa,NF,6,5,9,21,30
Tajikistan,Eurasia,NF,6,6,7,15,22
South Sudan,Africa,NF,7,6,2,13,15
Western Sahara,Africa,NF,7,7,-2,7,5
San Marino,Europe,F,1,1,40,60,100
Samoa,Asia,F,2,2,31,49,80
Sao Tome and Principe,Africa,F,2,2,34,47,81
Germany,Europe,F,1,1,39,57,96
Chad,Africa,NF,7,6,4,16,20
Gaza Strip,Middle East,NF,6,6,9,10,19
Bolivia,Americas,PF,3,3,25,38,63
Egypt,Africa,NF,6,5,8,18,26
Sweden,Europe,F,1,1,40,59,99
Japan,Asia,F,1,1,40,56,96
Comoros,Africa,PF,3,4,25,30,55
Zimbabwe,Africa,PF,5,5,12,20,32
Nagorno-Karabakh,Eurasia,PF,5,5,12,19,31
Somalia,Africa,NF,7,7,0,2,2
Belize,Americas,F,1,2,36,51,87
Panama,Americas,F,2,2,35,48,83
St. Vincent and the Grenadines,Americas,F,1,1,36,53,89
Central African Republic,Africa,NF,7,7,4,5,9
Kuwait,Middle East,PF,5,5,17,24,41
Abkhazia,Eurasia,PF,4,5,19,23,42
South Africa,Africa,F,2,2,33,48,81
Brazil,Americas,F,2,2,33,48,81
Botswana,Africa,F,3,2,28,46,74
Malawi,Africa,PF,3,3,29,37,66
Belize,Americas,F,1,2,36,50,86
Sweden,Europe,F,1,1,40,60,100
Bahamas,Americas,F,1,1,38,58,96
India,Asia,F,2,3,35,40,75
Nauru,Asia,F,2,2,35,49,84
Brunei,Asia,NF,6,5,7,22,29
Kiribati,Asia,F,1,1,36,55,91
North Macedonia,Europe,PF,4,3,21,37,58
Yemen,Middle East,NF,7,6,1,10,11
Albania,Europe,PF,3,3,28,40,68
Djibouti,Africa,NF,6,5,9,19,28
Peru,Americas,F,2,3,30,41,71
Rwanda,Africa,NF,6,6,8,16,24
Uzbekistan,Eurasia,NF,7,7,0,3,3
Tibet,Asia,NF,7,7,-2,3,1
Yemen,Middle East,NF,7,6,2,12,14
Cabo Verde,Africa,F,1,1,37,53,90
Mexico,Americas,PF,3,3,28,37,65
France,Europe,F,1,1,38,57,95
Ukraine,Eurasia,PF,3,3,25,37,62
Latvia,Europe,F,2,2,35,51,86
Poland,Europe,F,1,1,38,55,93
St. Vincent and the Grenadines,Americas,F,1,1,36,53,89
Solomon Islands,Asia,PF,4,3,22,43,65
Suriname,Americas,F,2,2,33,44,77
Maldives,Asia,PF,5,4,17,29,46
South Africa,Africa,F,2,2,33,46,79
Barbados,Americas,F,1,1,38,58,96
St. Vincent and the Grenadines,Americas,F,1,1,36,54,90
Lebanon,Middle East,PF,5,4,17,32,49
Norway,Europe,F,1,1,40,60,100
Dominican Republic,Americas,PF,3,3,26,41,67
Serbia,Europe,PF,4,3,23,43,66
Peru,Americas,F,2,3,30,41,71
Finland,Europe,F,1,1,40,60,100
Australia,Asia,F,1,1,40,58,98
Cyprus,Europe,F,1,1,37,55,92
New Zealand,Asia,F,1,1,39,58,97
Norway,Europe,F,1,1,40,60,100
Lithuania,Europe,F,1,1,38,53,91
Azerbaijan,Eurasia,NF,7,6,4,10,14
Montenegro,Europe,PF,4,3,22,40,62
Portugal,Europe,F,1,1,39,58,97
Afghanistan,Asia,NF,6,6,11,15,26
Mongolia,Asia,F,1,2,36,49,85
Marshall Islands,Asia,F,1,1,36,55,91
St. Lucia,Americas,F,1,1,39,53,92
Gabon,Africa,NF,7,5,3,19,22
Indonesia,Asia,PF,2,4,30,34,64
Colombia,Americas,PF,3,4,27,34,61
Kuwait,Middle East,PF,5,5,14,23,37
Tanzania,Africa,PF,4,4,22,30,52
Paraguay,Americas,PF,3,3,28,37,65
Argentina,Americas,F,2,2,31,48,79
Mauritania,Africa,NF,6,5,11,21,32
Brazil,Americas,F,2,2,31,47,78
Nigeria,Africa,PF,4,5,18,25,43
Colombia,Americas,PF,3,4,28,34,62
Belgium,Europe,F,1,1,40,57,97
Ecuador,Americas,PF,3,3,25,35,60
Malta,Europe,F,1,1,39,58,97
West Bank,Middle East,NF,6,5,7,24,31
Uruguay,Americas,F,1,1,40,58,98
Western Sahara,Africa,NF,7,7,-3,7,4
Tanzania,Africa,PF,5,5,12,22,34
Somaliland,Africa,PF,4,5,19,24,43
Cameroon,Africa,NF,6,6,9,13,22
Togo,Africa,PF,5,4,15,28,43
Oman,Middle East,NF,6,5,6,17,23
Liberia,Africa,PF,3,4,26,34,60
Tuvalu,Asia,F,1,1,37,57,94
Trinidad and Tobago,Americas,F,2,2,33,48,81
Moldova,Eurasia,PF,3,3,29,35,64
Bahamas,Americas,F,1,1,38,53,91
San Marino,Europe,F,1,1,40,60,100
Indonesia,Asia,F,2,3,30,35,65
Turkey,Europe,NF,5,6,16,16,32
Italy,Europe,F,1,1,37,53,90
Mozambique,Africa,PF,4,4,20,32,52
Lithuania,Europe,F,1,1,38,53,91
Kyrgyzstan,Eurasia,PF,5,4,12,26,38
Australia,Asia,F,1,1,39,58,97
Egypt,Africa,NF,6,6,8,14,22
Latvia,Europe,F,1,2,37,51,88
Sudan,Africa,NF,7,7,3,4,7
Honduras,Americas,PF,4,4,20,31,51
Niger,Africa,PF,3,4,26,30,56
Ukraine,Eurasia,PF,3,4,26,34,60
Indonesia,Asia,PF,2,4,30,31,61
Botswana,Africa,F,3,2,28,44,72
Armenia,Eurasia,PF,5,4,16,29,45
Kazakhstan,Eurasia,NF,7,5,5,17,22
Russia,Eurasia,NF,7,6,5,15,20
Togo,Africa,PF,4,4,18,29,47
Uruguay,Americas,F,1,1,40,57,97
North Macedonia,Europe,PF,3,3,28,39,67
Algeria,Africa,NF,6,5,11,24,35
Congo (Kinshasa),Africa,NF,7,6,4,15,19
Syria,Middle East,NF,7,7,-3,2,-1
Bhutan,Asia,PF,2,4,30,31,61
Cyprus,Europe,F,1,1,37,56,93
Morocco,Africa,PF,5,4,15,27,42
South Ossetia,Eurasia,NF,7,6,2,8,10
Hungary,Europe,PF,3,3,26,43,69
Zambia,Africa,PF,4,4,20,32,52
Bolivia,Americas,PF,3,3,29,38,67
Tajikistan,Eurasia,NF,7,6,0,8,8
St. Kitts and Nevis,Americas,F,1,1,36,53,89
Equatorial Guinea,Africa,NF,7,7,1,7,8
Mexico,Americas,PF,3,3,28,37,65
Comoros,Africa,PF,3,4,24,31,55
Burundi,Africa,NF,6,5,11,21,32
Belgium,Europe,F,1,1,39,57,96
Luxembourg,Europe,F,1,1,38,60,98
Malta,Europe,F,1,1,39,57,96
Lesotho,Africa,PF,3,3,27,36,63
Timor-Leste,Asia,PF,3,4,29,34,63
Vietnam,Asia,NF,7,5,3,17,20
Gabon,Africa,NF,7,5,3,18,21
Singapore,Asia,PF,4,4,19,32,51
Bangladesh,Asia,PF,5,5,15,24,39
North Korea,Asia,NF,7,7,0,3,3
Belarus,Eurasia,NF,7,6,5,15,20
Guinea,Africa,PF,5,5,15,25,40
South Sudan,Africa,NF,7,7,-2,4,2
Togo,Africa,PF,5,4,15,27,42
North Macedonia,Europe,PF,4,3,22,37,59
Antigua and Barbuda,Americas,F,2,2,33,52,85
Fiji,Asia,PF,6,4,7,30,37
Slovenia,Europe,F,1,1,39,55,94
Burundi,Africa,NF,7,6,5,14,19
Congo (Brazzaville),Africa,NF,7,5,2,19,21
Nepal,Asia,PF,3,4,25,31,56
Laos,Asia,NF,7,6,1,11,12
Jordan,Middle East,PF,5,5,12,25,37
Guinea-Bissau,Africa,NF,6,5,9,23,32
Ireland,Europe,F,1,1,39,58,97
Djibouti,Africa,NF,6,5,9,20,29
Switzerland,Europe,F,1,1,39,57,96
Belize,Americas,F,1,2,36,51,87
Haiti,Americas,PF,4,5,18,25,43
Belize,Americas,F,1,2,36,51,87
Chile,Americas,F,1,2,38,52,90
Zambia,Africa,PF,3,4,28,34,62
Timor-Leste,Asia,F,2,3,32,38,70
Abkhazia,Eurasia,PF,4,5,18,22,40
Eswatini,Africa,NF,7,5,1,18,19
Serbia,Europe,F,3,2,28,45,73
Laos,Asia,NF,7,6,0,11,11
Uzbekistan,Eurasia,NF,7,6,2,9,11
Slovakia,Europe,F,1,1,37,53,90
Mauritania,Africa,NF,6,5,9,22,31
Guinea-Bissau,Africa,PF,5,4,15,27,42
Central African Republic,Africa,NF,7,7,0,6,6
Indonesia,Asia,PF,2,4,31,34,65
Thailand,Asia,NF,6,5,6,25,31
Mongolia,Asia,F,1,2,36,50,86
Guatemala,Americas,PF,3,4,24,33,57
Chad,Africa,NF,7,6,1,14,15
Poland,Europe,F,2,2,35,49,84
Azerbaijan,Eurasia,NF,6,6,6,14,20
North Macedonia,Europe,PF,4,3,22,35,57
Malawi,Africa,PF,3,3,27,37,64
Senegal,Africa,F,2,3,32,43,75
Cameroon,Africa,NF,6,6,7,9,16
Suriname,Americas,F,2,2,33,44,77
Taiwan,Asia,F,1,1,37,56,93
Congo (Kinshasa),Africa,NF,6,6,9,16,25
Belarus,Eurasia,NF,7,6,5,14,19
Finland,Europe,F,1,1,40,60,100
Austria,Europe,F,1,1,37,58,95
Bahrain,Middle East,NF,6,6,6,12,18
Papua New Guinea,Asia,PF,4,3,23,39,62
Transnistria,Eurasia,NF,6,6,6,12,18
Niger,Africa,PF,3,4,26,30,56
Oman,Middle East,NF,6,5,6,17,23
Slovenia,Europe,F,1,1,38,53,91
Chad,Africa,NF,7,6,4,14,18
Egypt,Africa,NF,6,6,7,14,21
Monaco,Europe,F,3,1,26,56,82
Bolivia,Americas,PF,3,3,27,39,66
Congo (Brazzaville),Africa,NF,7,5,2,18,20
Oman,Middle East,NF,6,5,8,17,25
Moldova,Eurasia,PF,3,3,26,35,61
South Ossetia,Eurasia,NF,7,6,2,9,11
Denmark,Europe,F,1,1,40,58,98
Palau,Asia,F,1,1,37,55,92
Armenia,Eurasia,PF,5,4,14,29,43
Nicaragua,Americas,NF,7,5,5,18,23
Barbados,Americas,F,1,1,40,59,99
Montenegro,Europe,PF,3,3,24,39,63
Tunisia,Africa,F,1,3,36,42,78
Cyprus,Europe,F,1,1,38,56,94
Sri Lanka,Asia,PF,5,5,16,25,41
Czech Republic,Europe,F,1,1,38,56,94
Iran,Middle East,NF,6,6,7,10,17
Colombia,Americas,PF,3,4,29,34,63
Bolivia,Americas,PF,3,3,28,39,67
